Example Word,Number,Nominative,Genetive,Akkusative,Partitive,Inessive,Elative,Illative,Adessive,Ablative,Allative,Essive,Translative,Instructive,Abessive,Komitative
Valo,1/S,-,-n,,-a,-ssa,-sta,-on,-lla,-lta,-lle,-na,-ksi,-n,-tta,-neen
Valo,1/P,-t,-jen,,-ja,-issa,-ista,-ihin,-illa,-ilta,-ille,-ina,-iksi,-in,-itta,-ineen
Palvelu,2/S,-,-n,,-a,-ssa,-sta,-un,-lla,-lta,-lle,-na,-ksi,-n,-tta,-neen
Palvelu,2/P,-t,-jen/-iden/-itten,,-ja/-ita,-issa,-ista,-ihin,-illa,-ilta,-ille,-ina,-iksi,-in,-itta,-ineen
Valtio,3/S,-,-n,,-ta,-ssa,-sta,-on,-lla,-lta,-lle,-na,-ksi,-n,-tta,-neen
Valtio,3/P,-t,-iden/-itten,,-ita,-issa,-ista,-ihin,-illa,-ilta,-ille,-ina,-iksi,-in,-itta,-ineen
Laatikko,4/S,-,-n,,-a,-ssa,-sta,-on,-lla,-lta,-lle,-na,-ksi,-n,-tta,-neen
Laatikko,4/P,-t,[-]-jen/[+]-iden/[+]-itten,,[-]-ja/[+]-ita,-issa,-ista,[-/+]-ihin,-illa,-ilta,-ille,-ina,-iksi,-in,-itta,-ineen
Risti,5/S,-,-n,,-ä,-ssä,-stä,-in,-llä,-ltä,-lle,-nä,-ksi,-n,-ttä,-neen
Risti,5/P,-t,-en,,--ejä,--eissä,--eistä,--eihin,--eillä,--eiltä,--eille,--einä,--eiksi,--ein,--eittä,--eineen
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
